##$#TombolaLib;1.1;CSV_PLUS
#
# TombolaLib 1.1
# File description: Series list freshly generated by TombolaCards
# Creation timestamp: 2020/03/29 13:23:42
# File Format: CSV_PLUS. Use of Jolly numbers: ON
# 20 Series (120 cards)
# Card generation tecnique: PerfectSwap_1.1
# Card set generation heuristic: Control & Add Factory 1.0
#
CardLabel;NumR0C0;NumR0C1;NumR0C2;NumR0C3;NumR0C4;NumR0C5;NumR0C6;NumR0C7;NumR0C8;NumR1C0;NumR1C1;NumR1C2;NumR1C3;NumR1C4;NumR1C5;NumR1C6;NumR1C7;NumR1C8;NumR2C0;NumR2C1;NumR2C2;NumR2C3;NumR2C4;NumR2C5;NumR2C6;NumR2C7;NumR2C8;JollyIndex;MaxEqualPerCard;MaxEqualPerRow;
"Proud-001-ZR";00;11;24;00;41;00;00;78;84;09;19;29;31;00;00;67;00;00;00;10;00;00;42;51;60;00;90;(10);05;02;
"Proud-002-11";00;15;26;33;00;00;65;00;85;03;13;00;00;00;55;61;77;00;06;00;23;00;48;54;00;00;87;(10);05;02;
"Proud-003-47";02;00;25;37;43;00;00;73;00;00;14;00;00;45;00;63;72;89;00;12;22;30;00;56;00;79;00;(05);05;02;
"Proud-004-LZ";00;18;00;32;00;57;66;76;00;00;00;21;39;00;58;69;00;83;04;00;00;36;44;53;00;70;00;(08);05;02;
"Proud-005-MF";07;00;00;00;00;59;62;71;80;00;00;20;00;46;52;68;00;81;05;17;00;34;40;00;00;00;86;(06);05;02;
"Proud-006-9J";00;00;28;00;00;50;64;74;82;01;16;00;35;47;00;00;00;88;08;00;27;38;49;00;00;75;00;(01);05;02;
"Proud-007-PT";08;00;27;00;44;00;00;70;82;00;15;00;30;42;57;00;00;88;00;00;00;39;43;59;60;77;00;(07);05;02;
"Proud-008-8T";04;17;29;00;48;00;00;72;00;06;00;00;31;00;54;61;79;00;00;18;26;00;00;00;67;78;89;(13);05;02;
"Proud-009-H5";00;16;00;37;45;52;68;00;00;07;00;23;00;00;56;00;73;86;00;11;00;38;49;58;00;00;90;(03);05;02;
"Proud-010-YX";03;00;00;33;40;53;00;75;00;00;13;28;00;00;51;00;71;83;02;10;00;36;00;00;64;00;81;(10);05;02;
"Proud-011-U9";00;12;24;32;00;00;62;76;00;00;00;20;00;46;50;69;00;87;05;19;25;34;00;00;66;00;00;(04);05;02;
"Proud-012-DJ";01;00;00;00;41;00;63;74;85;09;00;21;35;47;00;00;00;84;00;14;22;00;00;55;65;00;80;(07);05;02;
"Proud-013-PR";00;00;00;00;41;51;60;75;85;04;15;00;32;00;00;00;71;82;01;00;20;00;00;54;65;00;84;(06);05;02;
"Proud-014-43";00;11;23;00;49;00;63;73;00;05;00;00;00;44;59;00;70;83;06;16;00;31;48;00;00;00;81;(02);05;02;
"Proud-015-1V";02;00;25;30;42;00;00;79;00;00;14;00;33;40;58;67;00;00;00;19;21;00;00;00;62;76;86;(14);05;02;
"Proud-016-GR";08;00;22;00;45;55;00;72;00;03;00;00;35;00;56;64;00;89;00;13;00;36;00;53;69;00;88;(11);05;02;
"Proud-017-E3";00;17;28;00;46;50;00;78;00;07;10;00;37;43;00;00;00;90;00;00;24;38;00;00;66;77;87;(08);05;02;
