##$#TombolaLib;1.1;CSV_PLUS
#
# TombolaLib 1.1
# Creation timestamp: 2018/04/03 23:14:25
# File Format: CSV_PLUS. Use of Jolly numbers: ON
# 30 Series (180 cards)
# Card generation tecnique: PerfectSwap_1.1
# Card set generation heuristic: Control & Add Factory 1.0
#
CardLabel;NumR0C0;NumR0C1;NumR0C2;NumR0C3;NumR0C4;NumR0C5;NumR0C6;NumR0C7;NumR0C8;NumR1C0;NumR1C1;NumR1C2;NumR1C3;NumR1C4;NumR1C5;NumR1C6;NumR1C7;NumR1C8;NumR2C0;NumR2C1;NumR2C2;NumR2C3;NumR2C4;NumR2C5;NumR2C6;NumR2C7;NumR2C8;JollyIndex;MaxEqualPerCard;MaxEqualPerRow;
"TT-001-8X";09;10;00;00;00;00;66;74;87;00;13;25;00;47;00;65;00;82;00;12;28;33;00;50;00;78;00;(14);06;02;
"TT-002-R5";00;00;24;39;00;59;62;79;00;00;19;00;32;00;00;63;76;86;06;18;00;00;43;56;00;00;83;(03);06;02;
"TT-003-6P";05;00;21;00;44;00;60;00;89;00;11;00;36;41;51;00;00;88;02;00;00;30;00;54;68;71;00;(01);06;02;
"TT-004-PR";00;16;29;31;00;00;00;75;85;01;17;00;00;00;52;67;73;00;00;00;00;38;48;55;69;00;84;(12);06;02;
"TT-005-ZX";08;00;26;00;46;58;00;77;00;00;00;00;35;49;53;61;72;00;04;15;23;00;40;00;00;00;80;(14);06;02;
"TT-006-QD";07;00;22;00;45;00;00;70;81;00;14;20;34;42;57;00;00;00;03;00;27;37;00;00;64;00;90;(02);06;02;
"TT-007-TT";00;15;00;38;43;50;67;00;00;00;00;00;34;40;00;66;78;85;01;00;28;00;00;51;69;00;90;(02);06;02;
"TT-008-V3";05;14;26;31;00;00;00;00;82;08;18;00;00;41;00;61;77;00;00;13;00;00;47;55;68;00;84;(06);05;02;
"TT-009-JR";07;00;00;30;00;53;00;72;88;00;11;00;00;45;52;64;00;89;06;16;24;00;00;00;00;75;86;(02);06;02;
"TT-010-47";00;00;23;36;49;57;60;00;00;09;00;00;33;42;00;63;71;00;00;12;22;00;46;58;00;00;81;(08);06;02;
"TT-011-GV";00;00;00;39;48;54;65;79;00;00;19;29;32;00;56;00;73;00;04;00;21;35;00;00;00;74;80;(11);06;02;
"TT-012-SZ";00;17;25;00;00;59;00;76;87;03;00;20;00;00;00;62;70;83;02;10;27;37;44;00;00;00;00;(09);06;02;
"TT-013-R1";00;13;00;33;43;50;00;70;00;09;00;21;00;00;00;61;78;88;00;00;22;00;45;55;68;00;89;(14);05;02;
"TT-014-W9";06;00;24;32;00;00;00;71;84;00;15;23;39;00;59;00;76;00;04;14;00;00;42;00;64;00;80;(10);06;02;
"TT-015-U3";08;00;00;31;44;00;69;73;00;00;18;28;30;00;00;60;00;90;00;00;29;00;00;52;62;79;83;(09);06;02;
"TT-016-WT";00;10;25;00;00;56;00;72;86;05;00;00;37;41;00;65;00;85;03;19;00;35;47;51;00;00;00;(09);06;02;
"TT-017-I3";07;00;00;00;40;54;67;00;87;00;12;00;34;00;53;66;75;00;00;16;20;00;49;58;00;74;00;(09);06;02;
"TT-018-Q3";02;11;00;00;48;00;63;00;81;01;00;26;36;46;57;00;00;00;00;17;27;38;00;00;00;77;82;(03);06;02;
"TT-019-L1";01;19;00;00;46;00;62;00;80;00;00;00;38;40;58;00;75;82;00;15;26;00;48;50;00;00;83;(00);06;02;
"TT-020-9J";05;10;28;00;00;00;69;78;00;00;00;29;34;00;57;61;72;00;02;00;27;00;49;00;00;71;90;(04);05;02;
"TT-021-RH";07;18;21;33;00;52;00;00;00;03;00;00;37;00;54;00;77;86;00;14;24;00;41;00;63;00;87;(00);06;02;
