##$#TombolaLib;1.1;CSV_PACKED_PLUS
#
# TombolaLib 1.1
# File description: Series list freshly generated by TombolaCards
# Creation timestamp: 2020/03/29 13:13:58
# File Format: CSV_PACKED_PLUS. Use of Jolly numbers: ON
# 40 Series (240 cards)
# Card generation tecnique: PerfectSwap_1.1
# Card set generation heuristic: Control & Add Factory 1.0
#
CardLabel;Num0;Num1;Num2;Num3;Num4;Num5;Num6;Num7;Num8;Num9;Num10;Num11;Num12;Num13;Num14;JollyIndex;MaxEqualPerCard;MaxEqualPerRow;
"Lucky-001-GV";24;37;48;72;80;10;25;52;67;73;05;26;31;68;90;(07);06;03;
"Lucky-002-GR";02;14;41;55;77;15;29;65;76;87;17;30;49;69;82;(14);06;02;
"Lucky-003-BV";07;32;53;79;86;08;20;46;54;71;19;38;43;60;74;(08);06;03;
"Lucky-004-MB";28;40;59;64;70;23;39;57;61;84;04;11;36;63;89;(09);06;03;
"Lucky-005-3F";16;22;45;58;88;01;27;35;47;78;03;42;51;66;81;(06);06;03;
"Lucky-006-MX";06;12;34;44;56;18;21;50;75;85;09;13;33;62;83;(05);06;03;
"Lucky-007-ZJ";11;51;68;74;86;25;47;56;65;75;06;21;33;77;81;(09);06;03;
"Lucky-008-FX";13;36;49;52;89;09;42;61;79;88;03;17;20;64;83;(07);06;03;
"Lucky-009-4T";04;37;41;73;84;07;18;31;40;55;28;35;58;69;85;(00);06;03;
"Lucky-010-BP";12;24;43;60;80;05;16;39;59;78;27;32;54;70;90;(10);06;03;
"Lucky-011-BB";02;15;23;45;87;19;38;44;62;76;08;10;26;46;57;(13);06;03;
"Lucky-012-FB";01;34;53;63;82;14;29;48;67;72;22;30;50;66;71;(08);06;03;
"Lucky-013-7H";14;24;50;64;79;07;40;56;75;90;19;21;35;41;60;(02);06;03;
"Lucky-014-UJ";17;37;45;54;87;06;11;20;32;52;02;42;61;73;89;(10);06;03;
"Lucky-015-PD";03;28;38;65;71;04;10;31;43;62;18;29;51;76;80;(14);06;03;
"Lucky-016-6Z";08;47;63;78;88;15;22;66;74;85;16;36;55;67;82;(09);06;03;
"Lucky-017-R1";09;46;58;68;84;12;23;59;70;83;25;34;49;53;72;(13);06;03;
"Lucky-018-WV";13;33;44;77;81;05;27;39;48;69;01;26;30;57;86;(14);06;03;
"Lucky-019-QX";04;39;50;69;78;02;28;32;44;88;05;10;34;49;83;(03);06;03;
"Lucky-020-9L";37;42;53;60;79;01;11;26;38;57;17;41;63;77;81;(06);06;03;
"Lucky-021-L7";06;15;35;40;86;31;47;58;73;90;19;21;55;68;80;(02);06;03;
"Lucky-022-ZX";18;22;56;70;87;20;33;45;67;76;07;52;64;71;89;(05);06;03;
"Lucky-023-P3";09;23;30;51;85;16;25;43;62;72;03;13;48;54;74;(07);06;03;
"Lucky-024-BF";27;46;59;66;75;08;12;29;65;82;14;24;36;61;84;(07);06;03;
"Lucky-025-MH";10;29;32;42;62;08;51;63;74;80;16;39;61;77;85;(07);06;03;
"Lucky-026-OR";09;22;45;73;82;36;49;56;65;72;14;24;44;58;87;(08);06;03;
"Lucky-027-PH";27;35;40;66;81;11;20;57;79;83;04;13;64;75;84;(00);06;03;
"Lucky-028-A7";12;23;30;52;71;05;19;33;70;86;06;15;26;46;60;(03);06;03;
"Lucky-029-IZ";02;17;34;54;78;07;38;59;69;89;28;37;47;67;90;(09);06;03;
"Lucky-030-SH";01;41;53;68;76;18;25;31;48;50;03;21;43;55;88;(07);06;03;
"Lucky-031-BL";13;28;46;70;83;03;24;69;77;80;11;26;34;54;71;(01);06;03;
"Lucky-032-WP";14;36;43;62;81;08;17;48;65;72;10;20;35;56;68;(07);05;02;
"Lucky-033-DL";09;18;27;60;79;47;58;67;74;88;07;19;30;53;61;(08);06;03;
"Lucky-034-PP";05;33;42;66;82;06;23;44;57;73;01;15;29;50;85;(03);06;03;
"Lucky-035-NB";12;49;52;75;86;02;25;37;63;87;21;39;40;55;89;(02);06;03;
"Lucky-036-N5";04;32;64;76;84;22;38;45;51;90;16;31;41;59;78;(02);06;03;
"Lucky-037-M5";11;22;37;46;59;06;40;69;77;90;20;43;51;72;84;(00);06;03;
"Lucky-038-JN";03;10;29;56;76;23;32;42;52;66;04;14;31;68;82;(03);06;02;
"Lucky-039-61";05;12;26;30;71;08;36;60;75;88;27;41;50;62;78;(00);06;03;
"Lucky-040-3T";15;39;53;67;87;09;16;44;55;80;01;24;38;54;79;(04);06;02;
"Lucky-041-J3";17;35;48;64;89;18;33;57;74;83;02;19;28;63;86;(04);06;03;
"Lucky-042-NV";07;13;49;73;81;25;45;58;65;70;21;34;47;61;85;(06);06;03;
"Lucky-043-JX";07;21;68;77;90;18;28;41;55;72;17;34;46;56;89;(05);06;03;
"Lucky-044-1X";19;22;33;57;88;01;15;26;38;52;39;49;63;70;83;(00);06;03;
"Lucky-045-5X";25;35;44;64;76;05;32;50;66;71;03;10;48;53;87;(14);06;03;
"Lucky-046-1N";08;29;30;43;80;09;12;24;60;79;37;47;51;61;84;(14);06;03;
"Lucky-047-6L";06;16;36;69;73;04;23;45;74;85;13;20;58;67;82;(05);06;03;
"Lucky-048-M9";14;27;40;54;75;11;31;65;78;81;02;42;59;62;86;(07);06;02;
"Lucky-049-7V";04;10;44;57;82;02;36;49;70;81;25;32;47;64;73;(12);06;03;
"Lucky-050-7V";12;30;41;51;85;09;19;37;65;72;23;46;50;61;75;(10);06;03;
"Lucky-051-N1";26;58;68;74;89;06;13;40;53;90;01;24;35;71;83;(14);06;03;
"Lucky-052-AR";14;33;59;66;88;07;28;52;79;84;11;21;34;48;62;(09);06;02;
"Lucky-053-TF";05;17;42;56;78;29;31;43;54;86;03;15;22;63;80;(07);06;03;
